english,category,first_page,occurrences,first_context,representative_source,confidence,zh_tw,status,scope,variants,evidence
Tashlyn,possible-proper-noun,4,17,data/0/entries/5/entries/0/rows/70/0,{@creature Tashlyn Yafeera|WDH},0.95,塔什琳,existing-site-short-form,contextual,塔什林,
Tashlyn Yafeera,possible-proper-noun,4,9,data/0/entries/5/entries/0/rows/70/0,{@creature Tashlyn Yafeera|WDH},0.95,塔什琳·雅菲拉,existing-site,contextual,塔什琳·雅菲拉,
Teleportation Circle,possible-proper-noun,78,4,data/5/entries/10/entries/2/entries/7/name,O5. Teleportation Circle,0.95,傳送法陣,existing-site,contextual,傳送法陣;傳送圈;傳送圓環,
Terenzio,possible-proper-noun,115,23,data/7/entries/1,"Victoro and {@creature Ammalia Cassalanter|WDH} struck a deal with Asmodeus, Lord of the Nine Hells. Three years ago, they traded away the souls of their children to escape financial ruin. The soul of their eldest son, Osvaldo, was taken immediately. What was left behind was transformed into a chain devil, which the Cassalanters confined to their attic. Their two youngest children, Terenzio and Elzerina, are doomed to lose their souls when they turn nine years old a mere ten days after Founders' Day, a midsummer festival that celebrates Waterdeep's founding.",0.8,特倫齊奧,project-proposed,contextual,,
Tervaround Waggletop,possible-proper-noun,143,1,data/8/entries/4/entries/5/entries/8/entries/2/entries/0,"Three rock gnome {@creature engineer|wdh|engineers} named Lorella Middenpump, Tervaround Waggletop, and Anverth Leffery are on duty here, along with two {@creature drow elite warrior||drow elite warriors} named Karabal L'enz and Marro Qaz'arrt. The drow guard the control room and keep the gnomes on task.",0.8,特瓦朗德·瓦格爾托普,project-proposed,contextual,,
Tessina Khyret,possible-proper-noun,130,1,data/7/entries/9/entries/3/entries/3,"While Ammalia plays host, Victoro instructs his cultists to remove the sacks of gold from House Cassalanter's vault ({@area C29|330}) and hurl them into the sacrificial bowl ({@area A7|345}). They finish shortly before midnight. At the stroke of midnight, as the poison does its work, Ammalia keeps an eye on her wealthy guests and orders Tessina Khyret to notify Victoro that the deed is done. Standing before the statue of Asmodeus in the temple, Victoro summons a {@creature barbed devil} and informs it that payment has been made in full. The devil declares (in Infernal) that the payment is ""satisfactory"" and informs Victoro that the souls of Terenzio and Elzerina will not be taken to the Nine Hells. It then disappears whence it came, leaving the Cassalanters to bask in their triumph.",0.8,蒂西娜·凱瑞特,project-proposed,contextual,,
Thann,possible-proper-noun,4,9,data/0/entries/5/entries/0/rows/11/0,Corylus Thann,0.8,坦恩,project-proposed,contextual,,
Thardouk Starbuckler,possible-proper-noun,160,1,data/9/entries/4/entries/5/entries/15/entries/2/entries/4/entries/0/items/2,Thardouk Starbuckler,0.8,薩杜克·星盾,project-proposed,contextual,,
Thay,possible-proper-noun,38,2,data/3/entries/4/entries/8/entries/1/entries/2/rows/2/1,"""The Zhents are courting a Red Wizard of Thay named Esloon Bezant, trying to add his gang of thugs to their ranks. All we know about him is that he fled his homeland a few years back and is too smart to get caught doing anything illegal. He and his gang of bullies prowl the Dock Ward. Scuttle the deal, and do it fast!""",0.95,賽爾,existing-site,contextual,泰雅;泰伊;泰爾;塞爾;泰族,
Thayan,possible-proper-noun,38,2,data/3/entries/4/entries/8/entries/1/entries/2/rows/2/2,"The characters can create a rift between the Zhentarim and Esloon's gang by sowing rumors of betrayal. They must spend 25 gp in bribes and succeed on a {@dc 16} Charisma (Deception or Persuasion) check. Conversely, they can confront Esloon Bezant (LE male Thayan human {@creature mage}) and his gang of five {@creature thug||thugs} and either defeat them or bribe them with at least 500 gp. {@i Reward}: Each Lords' Alliance character gains 2 renown. The characters can also deprive Esloon of his spellbook, which contains all the spells he has prepared.",0.8,賽爾,project-proposed,contextual,,
The Black Viper,possible-proper-noun,196,2,data/12/entries/7/name,The Black Viper,0.95,黑毒蛇,existing-site,contextual,黑蝰蛇,
The Doom Raiders,possible-proper-noun,17,6,data/1/entries/11/entries/12/entries/4,"The Doom Raiders (described in appendix B) consider themselves the true Zhentarim of Waterdeep. The group's leaders are {@creature Davil Starsong|WDH} (Master of Opportunities and Negotiations), {@creature Istrid Horn|WDH} (Master of Trade and Coin), {@creature Skeemo Weirdbottle|WDH} (Master of Magic), {@creature Tashlyn Yafeera|WDH} (Master of Arms and Mercenaries), and {@creature Ziraj the Hunter|WDH} (Master of Assassination).",0.95,末日劫掠者,existing-site,contextual,厄運突襲者;厄運掠奪者;末日突襲者;末日掠奪者,
The Emerald Enclave,possible-proper-noun,35,1,data/3/entries/4/entries/5/entries/0,"The Emerald Enclave takes an interest in characters who seek to preserve the balance within Waterdeep (particularly clerics of nature, druids, and rangers). Any such character is visited by a white cat that speaks the following message in a melodious male voice:",0.8,翠綠閒庭,project-proposed,contextual,,
The Harpers,possible-proper-noun,16,3,data/1/entries/11/entries/8/entries/2,"The Harpers have several secret gathering places in Waterdeep, among them Ulbrinter Villa, an estate located on Delzorin Street between Vhezoar Street and Brondar's Way, in the North Ward (just south of Trollskull Alley). The elf lady of the house, {@creature Remallia Haventree|WDH} (""Remi"" to her friends), the widow of Lord Arthagast Ulbrinter, is a high-ranking member of the faction. Other key members include {@creature Renaer Neverember|wdh}, the estranged son of Lord Dagult Neverember, and {@creature Mirt|WDH}, an advisor to Open Lord {@creature Laeral Silverhand|WDH}. See {@adventure appendix B|WDH|12} for more information on these NPCs.",0.8,豎琴手聯盟,project-proposed,contextual,豎琴手同盟;豎琴手會;豎琴手聯會,
The Order of the Gauntlet,possible-proper-noun,39,2,data/3/entries/4/entries/9/entries/0,"The Order of the Gauntlet looks for members who seek to fight evil in all its forms. Adventurers who worship Helm, Torm, or Tyr are especially sought after.",0.8,鐵手套教團,project-proposed,contextual,聖拳之誓;鐵拳團,
The Skewered Dragon,possible-proper-noun,23,5,data/2/entries/3/entries/4/entries/1,"En route to the tavern, ""Blood in the Streets"" is a chance for characters to see the City Watch in action. If the characters decide to look around, ""Searching the Dock Ward"" gives them a feel for their surroundings, and they might discover a strange place, ""Old Xoblob Shop,"" that warrants further exploration. Once they arrive at their destination, ""The Skewered Dragon"" is an opportunity for the characters to get information from the patrons, which leads them to ""Candle Lane,"" where their quest continues.",0.8,穿刺之龍,project-proposed,contextual,串燒龍,
Thongalar,possible-proper-noun,177,1,data/10/entries/5/entries/7/entries/3,"Magic users should be wary in the Court of the White Bull. Long ago, this plaza was a grazing area for livestock, including an albino calf that was born here. The calf's owner built the White Bull Tavern, which thrived on the spot for years and gave the area its name. You'll not find the tavern now, though. It vanished, utterly destroyed during an infamous spell battle between the archmage Thongalar the Mighty and the evil mage Shile Rauretilar and his apprentices. In the storm of magic that touched down here, Shile and his apprentices all perished and the fabric of the Weave was rent, such that Azuth, god of wizards, was forced to appear and set things right. He is said to have stitched reality and the Weave back together, but a wrinkle in the fabric remains. To this day, magic brought to bear in the Court of the White Bull sometimes goes awry, and the use of magic items and spells is forbidden in the area.",0.8,松加拉爾,project-proposed,contextual,,
Thorvin,possible-proper-noun,86,26,data/5/entries/12/entries/5/entries/1/rows/2/1,"3 {@creature duergar} and 1 {@creature gazer|vgm} (see {@adventure appendix B|WDH|12}) standing guard while {@creature Thorvin Twinbeard|wdh} (see {@adventure appendix B|WDH|12}) works on a mechanical beholder (see ""Mechanical Beholder"" below)",0.95,索文,existing-site-short-form,contextual,索爾文;託文,
Thorvin Twinbeard,possible-proper-noun,86,11,data/5/entries/12/entries/5/entries/1/rows/2/1,"3 {@creature duergar} and 1 {@creature gazer|vgm} (see {@adventure appendix B|WDH|12}) standing guard while {@creature Thorvin Twinbeard|wdh} (see {@adventure appendix B|WDH|12}) works on a mechanical beholder (see ""Mechanical Beholder"" below)",0.95,索文·雙須,existing-site,contextual,索文·雙須,
Thrakkus,possible-proper-noun,57,24,data/5/entries/2/entries/1/items/3,"If {@creature Manshoon|WDH} is the villain, the stone is brought to {@creature Thrakkus|wdh}, a dragonborn butcher in the Field Ward who chops up bodies for the Zhentarim.",0.95,薩卡斯,existing-site,contextual,,
Thunderstaff Way,possible-proper-noun,13,1,data/1/entries/9/entries/4/entries/1/entries/4/entries/0,"Once banished from Waterdeep for smuggling, slavery, and other crimes, this Tethyrian house has returned and is trying to overcome its dark past and disgraceful reputation by focusing on legitimate business ventures such as wine-making and gem trading. The family motto is ""We fly high and stoop swift."" Rosznar Villa is situated on Thunderstaff Way between Copper Street and Shield Street in the Sea Ward, west of the High Road.",0.8,雷杖路,project-proposed,contextual,,
Tiamat,possible-proper-noun,37,1,data/3/entries/4/entries/7/entries/2,"Enclosed are tickets for the entire party to {@i The Fall of Tiamat}, an opera sung in Giant describing the evil dragon queen's defeat at the Well of Dragons.",0.95,提亞馬特,existing-site,contextual,提亞瑪特;提阿瑪特,
Tissina,possible-proper-noun,4,7,data/0/entries/5/entries/0/rows/71/0,{@creature Tissina Khyret|WDH},0.95,蒂西娜,existing-site-short-form,contextual,,
Tissina Khyret,possible-proper-noun,4,6,data/0/entries/5/entries/0/rows/71/0,{@creature Tissina Khyret|WDH},0.95,蒂西娜·凱瑞特,existing-site,contextual,Tissina Khyret,
Trades Ward,possible-proper-noun,7,33,data/1/entries/3/entries/7/entries/0,"A clone of the wizard {@creature Manshoon|WDH}, one of the founders of the Zhentarim, is hiding in Waterdeep. He wants to rule the city, by claiming the cache of dragons and by using that wealth to bribe the Masked Lords into making him the new Open Lord. He also wants to regain control of the Black Network. {@creature Manshoon|WDH} lurks in Kolat Towers, a pair of wizards' towers in the Trades Ward. This residence is described in chapter 8.",0.8,商業區,project-proposed,contextual,貿易區;商貿區;商人區,
Trap,possible-proper-noun,96,3,data/5/entries/15/entries/2/entries/9/entries/2/name,Trap,0.95,陷阱,existing-site,contextual,陷阱,
Treasure,heading/rule,26,42,data/2/entries/4/entries/7/entries/1/name,Treasure,0.95,寶藏,existing-site,heading-only,寶藏,
Trench,possible-proper-noun,32,4,data/3/entries/3/entries/5/entries/1,"They are met by {@creature Vincent Trench|WDH}, a human detective and the owner of the Tiger's Eye. He speaks concisely, dresses in a sharp suit, and smokes a slim pipe. Vincent is in fact a {@creature rakshasa} named Valantajar that always casts {@spell disguise self} on itself before seeing visitors. The rakshasa has lived in Waterdeep for years, switching identities as often as needed to keep its true nature hidden. It has grown accustomed to living among mortals and, much to its own astonishment, is rather fond of Waterdeep and its citizens.",0.8,特倫奇,project-proposed,contextual,,
Trollskull,possible-proper-noun,10,46,data/1/entries/7/entries/2,"In chapter 2, the characters explore their new home in Trollskull Alley and attract the attention of factions interested in recruiting them for special missions.",0.8,巨魔顱骨,project-proposed,contextual,巨魔头骨;巨魔頭骨,
Trollskull Alley,possible-proper-noun,10,37,data/1/entries/7/entries/2,"In chapter 2, the characters explore their new home in Trollskull Alley and attract the attention of factions interested in recruiting them for special missions.",0.8,巨魔顱骨巷,project-proposed,contextual,巨魔頭骨巷;巨魔之顱巷;巨魔骷髏巷;託爾克斯庫爾巷;巨顱巷;屠龍巷;巨顱骨巷;巨魔骨巷;巨魔頭顱巷;顱骨巨魔巷,
Trollskull Manor,possible-proper-noun,30,9,data/2/entries/20/entries/1/entries/1/entries/2,"The tube contains a deed to Trollskull Manor, a historic building in the North Ward that the characters can claim as a home base. The deed has been notarized and appears legitimate (because it is). Volo recently bought the property because it is rumored to be haunted, and he was hoping that investigating it might yield a chapter for his next book, {@i Volo's Guide to Spirits and Specters}.",0.8,巨魔顱骨莊園,project-proposed,contextual,巨魔顱骨大宅;巨魔頭骨莊園;巨魔之顱莊園;巨顱莊園;骷髏頭莊園;巨魔頭顱莊園;巨魔顱島,
Trolltide,possible-proper-noun,58,8,data/5/entries/3/entries/6/entries/1/entries/1,"{@creature Losser Mirklav|wdh}, a halfling necromancer, raids the Garloth mausoleum and takes the stone shortly before the characters arrive (encounter 4, ""Mausoleum""). As they emerge from the mausoleum, members of the Xanathar Guild attack them, believing they have the stone. A clue left behind in the mausoleum leads the characters to an old windmill in the Southern Ward and a pair of grave robbers (encounter 10, ""Converted Windmill""). Fearing arrest, the grave robbers point them to a cellar complex under the Trades Ward (encounter 9, ""Cellar Complex""). When the characters arrive, they find Losser surrounded by foes and kenku working for the Xanathar Guild making off with the stone. A chase through the streets on or before Trolltide (encounter 3, ""Street Chase"") ends when the kenku, fearing capture, duck into an old tower (encounter 7, ""Old Tower""). If they are caught and confronted, the kenku hand over the stone.",0.8,巨魔節,project-proposed,contextual,巨魔潮,
Tylan Ilueph,possible-proper-noun,4,2,data/0/entries/5/entries/0/rows/72/0,Tylan Ilueph,0.8,提蘭·伊盧埃夫,project-proposed,contextual,,
Uktar,possible-proper-noun,7,5,data/1/entries/4/entries/5/entries/1/entries/0,"The Faerûnian months are Hammer, Alturiak, Ches, Tarsakh, Mirtul, Kythorn, Flamerule, Eleasis, Eleint, Marpenoth, Uktar, and Nightal.",0.8,烏克塔爾,project-proposed,contextual,烏克塔,
Ulbrinter,possible-proper-noun,16,5,data/1/entries/11/entries/8/entries/2,"The Harpers have several secret gathering places in Waterdeep, among them Ulbrinter Villa, an estate located on Delzorin Street between Vhezoar Street and Brondar's Way, in the North Ward (just south of Trollskull Alley). The elf lady of the house, {@creature Remallia Haventree|WDH} (""Remi"" to her friends), the widow of Lord Arthagast Ulbrinter, is a high-ranking member of the faction. Other key members include {@creature Renaer Neverember|wdh}, the estranged son of Lord Dagult Neverember, and {@creature Mirt|WDH}, an advisor to Open Lord {@creature Laeral Silverhand|WDH}. See {@adventure appendix B|WDH|12} for more information on these NPCs.",0.8,烏爾布林特,project-proposed,contextual,烏布倫特,
Uld,possible-proper-noun,71,5,data/5/entries/7/entries/7/entries/4/name,Uld's Resting Place,0.8,烏爾德,project-proposed,contextual,,
Uld Brandath,possible-proper-noun,71,1,data/5/entries/7/entries/7/entries/4/entries/0,"A {@spell detect magic} spell reveals an aura of transmutation that emanates from one of the stone coffins on the underground level. This crypt contains the shattered bones of Uld Brandath, a Waterdavian magister who died in a freak accident decades ago. (A gargoyle broke off the corner of a government building and fell on Uld, crushing him.) Guarding his remains are six {@creature crawling claw||crawling claws} made from the hands of murderers who were sentenced to death by Uld. These undead hands spring out and attack when the lid is lifted or shoved aside.",0.8,烏爾德·布蘭達斯,project-proposed,contextual,,
Umbrusk,possible-proper-noun,161,1,data/9/entries/5/entries/1/entries/0,The events described in this section might occur if the characters obtain the ledger from {@area E13|430} and use the information in it to confront either Corylus Thann or Jelenn Urmbrusk about their suspicious dealings with {@creature Manshoon|WDH}. The Thann and Umbrusk families have walled estates in the Sea Ward.,0.8,烏姆布魯斯克,project-proposed,contextual,,
Umpok,possible-proper-noun,104,1,data/6/entries/7/entries/4/entries/8/entries/1/rows/0/1,"A male half-ogre named Groz, a minotaur named Umpok, and a female orog named Charworl",0.8,烏姆波克,project-proposed,contextual,,
Undercliff,possible-proper-noun,15,6,data/1/entries/11/entries/6/entries/2,"Members of the Emerald Enclave can be found in Phaulkonmere, a noble villa in the Southern Ward, and at the Snobeedle Orchard and Meadery in Undercliff. The walls of Phaulkonmere enclose fabulous gardens, and the buildings are covered with moss and ivy. The place is owned by descendants of two wealthy families-the Tarms (longtime Waterdavians) and the Phaulkons (who are of Cormyrean descent). They spend most of the year traveling abroad and entrust the estate to a half-elf groundskeeper named {@creature Melannor Fellbranch|wdh}. He is joined by Jeryth Phaulkon, a noblewoman turned demigod who serves Mielikki, divine lady of the forest.",0.8,崖下區,project-proposed,contextual,副崖;下崖;地底崖,
Undermountain,possible-proper-noun,5,36,data/1/entries/1,"If you're looking for higher-level adventure content set in Waterdeep, a companion product titled {@i Waterdeep: Dungeon of the Mad Mage} explores the vast dungeon under Waterdeep known as Undermountain and is designed for characters of levels all the way up to 20th.",0.8,地脈迷城,project-proposed,contextual,地底山脈;地底迷城;幽暗地獄;地底城;地底山城;地下山脈,
Unicorn,possible-proper-noun,90,3,data/5/entries/14/entries/5/rows/5/3,Unicorn,0.95,獨角獸,existing-site,contextual,獨角獸,
Urlaster,possible-proper-noun,4,6,data/0/entries/5/entries/0/rows/74/0,Urlaster Ghann,0.8,烏拉斯特,project-proposed,contextual,烏拉斯特爾,
Urlaster Ghann,possible-proper-noun,4,3,data/0/entries/5/entries/0/rows/74/0,Urlaster Ghann,0.8,烏拉斯特·甘恩,project-proposed,contextual,,
Urstul,possible-proper-noun,4,52,data/0/entries/5/entries/0/rows/75/0,{@creature Urstul Floxin|WDH},0.95,厄斯圖爾,existing-site-short-form,contextual,烏爾斯特;烏斯圖爾;烏爾斯圖,
Urstul Floxin,possible-proper-noun,4,29,data/0/entries/5/entries/0/rows/75/0,{@creature Urstul Floxin|WDH},0.95,厄斯圖爾·弗洛克辛,existing-site,contextual,厄斯圖爾·弗洛克辛,
Uza,possible-proper-noun,38,5,data/3/entries/4/entries/7/entries/3/entries/2/rows/1/1,"""Uza Solizeph is an old woman who sells books out of a narrow three-story building on Sorn Street in the Trades Ward. She claims to have trapped a monster in her shop and fears for the welfare of her books and her cat. The City Watch isn't likely to lend a hand, given Uza's propensity for tall tales, but the Harpers owe her a favor. You'll find her sobbing at Felzoun's Folly, a tavern on the corner of Sorn Street and Salabar Street. Make haste!""",0.8,烏扎,project-proposed,contextual,,
Uza Solizeph,possible-proper-noun,38,1,data/3/entries/4/entries/7/entries/3/entries/2/rows/1/1,"""Uza Solizeph is an old woman who sells books out of a narrow three-story building on Sorn Street in the Trades Ward. She claims to have trapped a monster in her shop and fears for the welfare of her books and her cat. The City Watch isn't likely to lend a hand, given Uza's propensity for tall tales, but the Harpers owe her a favor. You'll find her sobbing at Felzoun's Folly, a tavern on the corner of Sorn Street and Salabar Street. Make haste!""",0.8,烏扎·索利澤夫,project-proposed,contextual,,
Vaelle,possible-proper-noun,4,6,data/0/entries/5/entries/0/rows/76/0,Vaelle Lurval,0.8,瓦艾爾,project-proposed,contextual,瓦埃勒,
Vaelle Lurval,possible-proper-noun,4,3,data/0/entries/5/entries/0/rows/76/0,Vaelle Lurval,0.8,瓦艾爾·勒瓦爾,project-proposed,contextual,瓦埃勒·盧瓦爾,
Vajra,possible-proper-noun,4,41,data/0/entries/5/entries/0/rows/77/0,{@creature Vajra Safahr|WDH},0.95,瓦婕拉,existing-site-short-form,contextual,瓦吉拉;瓦傑拉,
Vajra Safahr,possible-proper-noun,4,20,data/0/entries/5/entries/0/rows/77/0,{@creature Vajra Safahr|WDH},0.95,瓦婕拉·莎法爾,existing-site,contextual,瓦婕拉·莎法爾,
Valantajar,possible-proper-noun,32,1,data/3/entries/3/entries/5/entries/1,"They are met by {@creature Vincent Trench|WDH}, a human detective and the owner of the Tiger's Eye. He speaks concisely, dresses in a sharp suit, and smokes a slim pipe. Vincent is in fact a {@creature rakshasa} named Valantajar that always casts {@spell disguise self} on itself before seeing visitors. The rakshasa has lived in Waterdeep for years, switching identities as often as needed to keep its true nature hidden. It has grown accustomed to living among mortals and, much to its own astonishment, is rather fond of Waterdeep and its citizens.",0.8,瓦蘭塔賈爾,project-proposed,contextual,,
Valetta,possible-proper-noun,47,16,data/4/entries/8/entries/2/entries/2/name,Meeting Valetta,0.95,瓦萊塔,existing-site,contextual,,
Vault of Dragons,possible-proper-noun,57,50,data/5/entries/1,"Gold makes people do strange things, and Lord Neverember's hidden cache of dragons is up for grabs. The {@item Stone of Golorr|WDH} knows where the treasure vault is located and how to get inside, and much of this chapter focuses on the characters' hunt for the artifact. The challenges before them depend on the villain (or villains) that you selected to oppose them. Whatever the season, a villain's goals are simple: obtain the stone, find the Vault of Dragons, and claim the treasure within.",0.95,龍之寶庫,existing-project-prose,proper-noun,龍之金庫;龍族的金庫;龍族金庫;龍幣金庫,
Velgos Ephezzrin,possible-proper-noun,4,2,data/0/entries/5/entries/0/rows/78/0,Velgos Ephezzrin,0.8,維爾戈斯·埃菲茲林,project-proposed,contextual,,
Vellix,possible-proper-noun,112,1,data/6/entries/7/entries/4/entries/31/entries/3/entries/0,"The goblins, Lulz and Vellix, are servers who have allowed themselves to get swept up in the reverie. If a fight breaks out, they hide under a table and throw themselves at the mercy of the party if the characters emerge victorious.",0.8,維利克斯,project-proposed,contextual,,
Vevette,possible-proper-noun,4,27,data/0/entries/5/entries/0/rows/79/0,Vevette Blackwater,0.8,薇薇特,project-proposed,contextual,維埃特;維維特,
Vevette Blackwater,possible-proper-noun,4,12,data/0/entries/5/entries/0/rows/79/0,Vevette Blackwater,0.8,薇薇特·黑水,project-proposed,contextual,維埃特·布萊克沃特;薇薇特·布萊克沃特,
Vhaspar,possible-proper-noun,4,5,data/0/entries/5/entries/0/rows/80/0,Vhaspar Holmdreg,0.8,瓦斯帕,project-proposed,contextual,,
Vhaspar Holmdreg,possible-proper-noun,4,2,data/0/entries/5/entries/0/rows/80/0,Vhaspar Holmdreg,0.8,瓦斯帕·霍姆德雷格,project-proposed,contextual,,
Vhezoar,possible-proper-noun,16,2,data/1/entries/11/entries/8/entries/2,"The Harpers have several secret gathering places in Waterdeep, among them Ulbrinter Villa, an estate located on Delzorin Street between Vhezoar Street and Brondar's Way, in the North Ward (just south of Trollskull Alley). The elf lady of the house, {@creature Remallia Haventree|WDH} (""Remi"" to her friends), the widow of Lord Arthagast Ulbrinter, is a high-ranking member of the faction. Other key members include {@creature Renaer Neverember|wdh}, the estranged son of Lord Dagult Neverember, and {@creature Mirt|WDH}, an advisor to Open Lord {@creature Laeral Silverhand|WDH}. See {@adventure appendix B|WDH|12} for more information on these NPCs.",0.8,維佐爾,project-proposed,contextual,,
Victoro,possible-proper-noun,4,68,data/0/entries/5/entries/0/rows/81/0,{@creature Victoro Cassalanter|WDH},0.95,維克托羅,existing-site-short-form,contextual,維克託羅;維克托;維克託,
Victoro Cassalanter,possible-proper-noun,4,20,data/0/entries/5/entries/0/rows/81/0,{@creature Victoro Cassalanter|WDH},0.95,維克托羅·卡薩蘭特,existing-site,contextual,維克托羅·卡薩蘭特,
Vincent,possible-proper-noun,32,6,data/3/entries/3/entries/5/entries/1,"They are met by {@creature Vincent Trench|WDH}, a human detective and the owner of the Tiger's Eye. He speaks concisely, dresses in a sharp suit, and smokes a slim pipe. Vincent is in fact a {@creature rakshasa} named Valantajar that always casts {@spell disguise self} on itself before seeing visitors. The rakshasa has lived in Waterdeep for years, switching identities as often as needed to keep its true nature hidden. It has grown accustomed to living among mortals and, much to its own astonishment, is rather fond of Waterdeep and its citizens.",0.95,文森特,existing-site-short-form,contextual,,
Vincent Trench,possible-proper-noun,32,3,data/3/entries/3/entries/5/entries/1,"They are met by {@creature Vincent Trench|WDH}, a human detective and the owner of the Tiger's Eye. He speaks concisely, dresses in a sharp suit, and smokes a slim pipe. Vincent is in fact a {@creature rakshasa} named Valantajar that always casts {@spell disguise self} on itself before seeing visitors. The rakshasa has lived in Waterdeep for years, switching identities as often as needed to keep its true nature hidden. It has grown accustomed to living among mortals and, much to its own astonishment, is rather fond of Waterdeep and its citizens.",0.95,文森特·特倫奇,existing-site,contextual,,
Volkarr,possible-proper-noun,4,7,data/0/entries/5/entries/0/rows/82/0,Volkarr Kibbens,0.8,沃爾卡,project-proposed,contextual,,
Volkarr Kibbens,possible-proper-noun,4,4,data/0/entries/5/entries/0/rows/82/0,Volkarr Kibbens,0.8,沃爾卡·基本斯,project-proposed,contextual,,
Volo,possible-proper-noun,5,61,data/1/entries/0,"Welcome to Waterdeep, the Crown of the North, where a wondrous tale of urban adventure is about to unfold. Our story begins with the gathering of adventurers at the Yawning Portal Inn and Tavern. {@creature Volothamp ""Volo"" Geddarm|ToA|Volothamp Geddarm}, the famous explorer and raconteur, has a quest for them-one that entangles the characters in a bitter conflict between two nefarious organizations. If the adventurers complete his quest, Volo rewards them handsomely. Yet a much greater prize lies hidden somewhere in the City of Splendors, waiting to be claimed. Waterdeep: Dragon Heist is a Dungeons & Dragons adventure designed for characters starting at 1st level. By the end of the story, the characters will be at least 5th level. If you're planning to run through the adventure as a player, stop reading now!",0.8,瓦羅,project-proposed,contextual,沃洛;沃羅;伏羅,
Volothamp Geddarm,possible-proper-noun,4,12,data/0/entries/5/entries/0/rows/83/0,Volothamp Geddarm,0.95,瓦羅贊普·格達姆,existing-site-name-without-nickname,contextual,瓦羅塔姆·葛達姆;瓦羅桑普·蓋達姆;瓦羅瑟姆·蓋德姆;瓦羅瑟姆·蓋達姆,"data/zh-TW/bestiary/bestiary-toa.json: Volothamp ""Volo"" Geddarm"
Vorondar Levelstone,possible-proper-noun,199,1,data/12/entries/10/entries/5/entries/1,"Tashlyn has established a useful cover by serving as a bodyguard to Vorondar Levelstone, a dwarf magister stationed at the South Gate. She likes the dwarf and has earned his confidence, allowing her to reach the rank of captain in the City Guard. In that position, she watches over traffic that passes through the gate-and ensures that her associates in the Black Network can come and go freely.",0.8,沃隆達爾·平石,project-proposed,contextual,,
Watchful Order of Magists and Protectors,possible-proper-noun,13,13,data/1/entries/9/entries/5/entries/0,"Any characters with the guild artisan background are assumed to have free membership in one Waterdeep guild of their choice. Arcane spellcasters living in the city are required by law to register with the Watchful Order of Magists and Protectors, so that they can be called on to defend the city with their magic in times of need.",0.8,警戒法師與護衛教團,project-proposed,contextual,警惕法師和保護者秩序;警戒法師與保護者組織;警覺的法師與保護者秩序;警戒法師與保護者團;警戒秩序;警戒之序;法師與守護者警戒團;魔法師與保護者警覺秩序;守望法師與守護者秩序;警覺法師和保護者秩序;警惕的法師與保護者秩序;守望法師與保護者秩序;守望者秩序,
Waterdavian,possible-proper-noun,6,33,data/1/entries/3/entries/5/entries/0,"Victoro and {@creature Ammalia Cassalanter|WDH} are Waterdavian nobles and secret devil worshipers. The Cassalanters plan to use the cache of dragons to buy back the souls of their children, which they traded to Asmodeus for power. Their estate, Cassalanter Villa, has a temple of Asmodeus hidden underneath it, as described in chapter 6.",0.8,深水城的,project-proposed,contextual,,
Waterdavians,possible-proper-noun,7,37,data/1/entries/4/entries/2/entries/0,"Summers in Waterdeep are quite comfortable, and it's a great time for citizens and visitors to congregate outside. The markets are busier than at any other time of year. Sometimes, though, warm air pushes up from the south and settles in the valleys north and east of the city. This air gets trapped, creating a hot spell that might last days or weeks. Activity in the city slows to a crawl, since Waterdavians are unaccustomed to such heat.",0.8,深水城居民,project-proposed,contextual,深水城人,
Waterdeep,possible-proper-noun,2,442,data/0/entries/0/title,"In Waterdeep, a gold coin is called a dragon, and someone has hidden half a million dragons in the City of Splendors. Tyler Jacobson illustrates the villains hunting for the treasure. May the gods protect any adventurer who stands in their way!",0.8,深水城,project-proposed,contextual,,
Waterdeep Way,possible-proper-noun,170,2,data/10/entries/4/entries/8/entries/1/entries/2,"The city's centuries-old layout dictates its traffic patterns today. Waterdeep lies on a plateau adjacent to a long mountain that shields much of it from the sea. In the southern third of the city, where the land slopes up from the harbor, the High Road and the Way of the Dragon are the two main south-north roads. These converge both at the Waymoot near the southern gate, and in the heart of the Trades Ward where the city is at its narrowest-bounded by Castle Waterdeep, high on a spur of the mountain, and the walls of the City of the Dead. The conjoined boulevard then splits to the north, continuing as the High Road, and to the west as a boulevard called Waterdeep Way, heading toward the Palace of Waterdeep (not to be confused with Waterdeep Castle, which it passes hard by). In the middle of the city, six boulevards run north from Waterdeep Way, where they meet the road that encircles the Market. On the other side of the Market, five boulevards continue north.",0.8,深水大道,project-proposed,contextual,,
Waterdeep: Dragon Heist,possible-proper-noun,2,5,data/0/entries/1,"A simple question began rattling around in my head over two years ago as I was bidding farewell to Barovia, dragging myself out of the depths of Maelstrom, and planning a yearlong expedition to Chult. Where do we go next? After mulling over several options, we decided it would be refreshing to return to civilization. Waterdeep: Dragon Heist is a treasure hunt with an urban backdrop. We've visited Waterdeep before, but not like this. Clever heroes will respect the city's rules. Those who get on the city's bad side are in for a rough time, as the City of Splendors is home to some of the most powerful figures in the Forgotten Realms.",0.8,深水城：龍金劫,project-proposed,contextual,深水城: 龍金劫;深水城龍金劫,
