english,category,zh_tw,alternative_zh_tw,source,status,lock,notes
Immortal Durability,subclassFeature,不朽耐久,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Immortal Will,subclassFeature,不朽意志,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Implement of Peace,subclassFeature,和平執行,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Implements of Mercy,subclassFeature,命流之器,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Impostor,subclassFeature,冒充者,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Improved Abjuration,subclassFeature,精通防護,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Improved Armorer,subclassFeature,高等裝甲師,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Improved Circle Forms,subclassFeature,進階結社形態,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Improved Combat Superiority,subclassFeature,精通卓越戰技,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Improved Combat Superiority (d10),subclassFeature,精通戰鬥卓越(d10),,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Improved Combat Superiority (d12),subclassFeature,精通戰鬥卓越(d12),,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Improved Critical,subclassFeature,強化重擊,精通重擊,5eclone.pingstudio.tw (preferred candidate); project glossary alternatives,approved,true,User approved the first listed candidate; may revise later.
Improved Defender,subclassFeature,改良守衛,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Improved Duplicity,subclassFeature,強化假體,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Improved Flare,subclassFeature,強化閃耀,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Improved Illusions,subclassFeature,強化幻術,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Improved Minor Illusion,subclassFeature,精通次級幻象,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Improved Reanimation,subclassFeature,強化蘇生,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Improved Reaper,subclassFeature,精通收割者,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Improved Shadow Step,subclassFeature,無影步,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Improved War Magic,subclassFeature,精通戰爭魔法,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Improved Warding Flare,subclassFeature,精通守禦之光,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Indestructible Life,subclassFeature,不滅生命,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Inescapable Destruction,subclassFeature,命定毀傷,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Infectious Fury,subclassFeature,怒火侵蝕,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Infectious Inspiration,subclassFeature,啓悟傳播,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Infiltration Expertise,subclassFeature,專業滲透,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Infiltrator,subclassFeature,滲透者,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Ingenious Movement,subclassFeature,靈機一動,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Inquisitive,subclassFeature,審訊者,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Insightful Fighting,subclassFeature,戰鬥洞察,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Insightful Manipulator,subclassFeature,洞察能手,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Inspiring Commander,subclassFeature,振軍將帥,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Inspiring Movement,subclassFeature,鼓舞之移,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Inspiring Smite,subclassFeature,鼓舞一擊,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Inspiring Surge,subclassFeature,振奮之潮,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Instinctive Charm,subclassFeature,本能魅惑,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Intimidating Presence,subclassFeature,威懾之姿,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Intoxicated Frenzy,subclassFeature,酒瘋狂醉,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Inured to Undeath,subclassFeature,不死適應,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Invincible Conqueror,subclassFeature,無敵征服者,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Invoke Duplicity,subclassFeature,召現分身,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Iron Mind,subclassFeature,鋼鐵心智,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Keeper of Souls,subclassFeature,守魂者,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Kensei's Shot,subclassFeature,劍聖神射,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Knightly Envoy,subclassFeature,騎士禮節,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Know Your Enemy,subclassFeature,知己知彼,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Knowledge Domain,subclassFeature,知識領域,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Knowledge Domain (PSA),subclassFeature,知識領域(PSA),,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Knowledge Domain Spells,subclassFeature,知識領域法術,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Land's Aid,subclassFeature,大地之援,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Land's Stride,subclassFeature,大地行者,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Leading Evasion,subclassFeature,引導閃避,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Leap to Your Feet,subclassFeature,鯉魚打挺,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Legion of One,subclassFeature,一人成軍,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Life Domain,subclassFeature,生命領域,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Life Domain Spells,subclassFeature,生命領域法術,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Light Domain,subclassFeature,光明領域,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Light Domain Spells,subclassFeature,光明領域法術,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Lightning Launcher,subclassFeature,閃電發射器,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Limited Wish,subclassFeature,有限許願術,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Living Legend,subclassFeature,現世傳說,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Lunar Boons,subclassFeature,月之恩澤,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Lunar Embodiment,subclassFeature,月之化身,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Lunar Empowerment,subclassFeature,月之賦能,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Lunar Form,subclassFeature,月輝形態,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Lunar Phenomenon,subclassFeature,月之異象,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Lunar Sorcery,subclassFeature,月之術法,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Macabre Modifications,subclassFeature,駭懼改造,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Mage Hand Legerdemain,subclassFeature,法師之手詐術,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Magic Arrow,subclassFeature,魔法箭矢,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Magic Awareness,subclassFeature,察覺魔法,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Magic-User's Nemesis,subclassFeature,魔法剋星,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Magical Ambush,subclassFeature,魔法伏擊,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Magical Discoveries,subclassFeature,魔法探秘,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Malleable Illusions,subclassFeature,可塑幻象,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Maneuver Options,subclassFeature,戰技選項,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Maneuvers,subclassFeature,戰技,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Manifest Echo,subclassFeature,顯現迴音,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Manifest Mind,subclassFeature,神識顯現,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Manipulate Elements,subclassFeature,掌控元素,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Mantle of Inspiration,subclassFeature,激勵光環,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Mantle of Majesty,subclassFeature,威嚴光環,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Mantle of Whispers,subclassFeature,低語斗篷,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Mapping Magic,subclassFeature,製圖魔法,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Marid's Surge,subclassFeature,水巨靈之激流,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Martial Training,subclassFeature,戰爭訓練,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Master Duelist,subclassFeature,決鬥大師,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Master of Hexes,subclassFeature,巫咒大師,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Master of Intrigue,subclassFeature,陰謀大師,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Master of Nature,subclassFeature,自然之主,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Master of Runes,subclassFeature,符文大師,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Master of Tactics,subclassFeature,戰術大師,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Master Scrivener,subclassFeature,書士宗師,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Master Transmuter,subclassFeature,變化宗師,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Master's Flourish,subclassFeature,劍舞大師,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Mastermind,subclassFeature,策士,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Mastery of Death,subclassFeature,掌握生死,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Memory of One Thousand Steps,subclassFeature,千步之憶,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Mighty Impel,subclassFeature,偉力推動,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Mighty Summoner,subclassFeature,強力召喚者,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Mighty Swarm,subclassFeature,壯大集羣,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Mind Magic,subclassFeature,思維魔法,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Mindless Rage,subclassFeature,無我狂暴,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Minor Alchemy,subclassFeature,次級鍊金,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Minor Conjuration,subclassFeature,次級咒喚,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Misdirection,subclassFeature,誤導攻擊,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Misty Escape,subclassFeature,霧遁,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Misty Wanderer,subclassFeature,霧行漫遊,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Mobile Flourish,subclassFeature,靈活劍舞,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Momentary Stasis,subclassFeature,瞬時靜止,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Monster Slayer,subclassFeature,怪物殺手,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Monster Slayer Magic,subclassFeature,怪物殺手魔法,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Moon Fire,subclassFeature,月火,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Moon's Inspiration,subclassFeature,明月激勵,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Moonlight Step,subclassFeature,月光飛步,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Mortal Bulwark,subclassFeature,塵世壁壘,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Mote of Potential,subclassFeature,潛能微塵,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Multiattack,subclassFeature,多重攻擊,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Multiattack Defense,subclassFeature,防禦多重攻擊,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Mystical Connection,subclassFeature,神秘連線,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Natural Recovery,subclassFeature,自然恢復,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Nature Domain,subclassFeature,自然領域,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Nature Speaker,subclassFeature,自然語者,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Nature's Sanctuary,subclassFeature,自然庇護,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Nature's Ward,subclassFeature,自然之護,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Nature's Wrath,subclassFeature,自然之怒,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Necromancy Savant,subclassFeature,死靈學者,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Necrotic Husk,subclassFeature,死疽軀殼,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Noble Scion,subclassFeature,巨靈貴胄,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Oath of Conquest,subclassFeature,征服之誓,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Oath of Devotion,subclassFeature,奉獻之誓,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Oath of Devotion Spells,subclassFeature,奉獻聖誓法術,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Oath of Glory,subclassFeature,榮耀之誓,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Oath of Glory Spells,subclassFeature,榮耀之誓法術,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Oath of Redemption,subclassFeature,救贖之誓,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Oath of the Ancients,subclassFeature,遠古之誓,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Oath of the Ancients Spells,subclassFeature,古賢聖誓法術,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Oath of the Crown,subclassFeature,王冠之誓,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Oath of the Noble Genies,subclassFeature,巨靈貴族之誓,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Oath of the Watchers,subclassFeature,守望之誓,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Oath of Vengeance,subclassFeature,復仇之誓,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Oath of Vengeance Spells,subclassFeature,復仇聖誓法術,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Oath Spells,subclassFeature,聖誓法術,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Oathbreaker,subclassFeature,破誓者,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Oathbreaker Spells,subclassFeature,破誓者法術,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Oceanic Gift,subclassFeature,大洋慨贈,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Oceanic Soul,subclassFeature,海淵魂靈,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Oketra's Blessing,subclassFeature,歐柯塔之佑,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
One with the Blade,subclassFeature,人劍合一,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
One with the Word,subclassFeature,書人合一,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Open Hand Technique,subclassFeature,散打技巧,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Opportunist,subclassFeature,趁人之危,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Order Domain,subclassFeature,秩序領域,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Order of Scribes,subclassFeature,書士會,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Order of the Avatar,subclassFeature,具現者修會,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Order of the Awakened,subclassFeature,覺醒者修會,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Order of the Immortal,subclassFeature,不朽者修會,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Order of the Nomad,subclassFeature,漫遊者修會,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Order of the Soul Knife,subclassFeature,魂刃修會,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Order of the Wu Jen,subclassFeature,巫覡修會,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Order's Wrath,subclassFeature,秩序之怒,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Otherworldly Glamour,subclassFeature,妖冶嫺都,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Otherworldly Wings,subclassFeature,超凡之翼,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Overchannel,subclassFeature,重載導魔,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Panache,subclassFeature,瀟灑氣質,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Path of the Ancestral Guardian,subclassFeature,先祖守衛道途,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Path of the Battlerager,subclassFeature,戰狂道途,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Path of the Beast,subclassFeature,野獸道途,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Path of the Berserker,subclassFeature,狂戰士道途,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Path of the Giant,subclassFeature,巨人道途,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Path of the Kensei,subclassFeature,劍聖之途,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Path of the Storm Herald,subclassFeature,風暴先驅道途,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Path of the Totem Warrior,subclassFeature,圖騰勇士道途,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Path of the Wild Heart,subclassFeature,獸心道途,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Path of the World Tree,subclassFeature,世界樹道途,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Path of the Zealot,subclassFeature,狂熱者道途,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Path of Wild Magic,subclassFeature,狂野魔法道途,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Path to the Grave,subclassFeature,往墓之途,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Peace Domain,subclassFeature,和平領域,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Peerless Athlete,subclassFeature,絕倫健將,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Peerless Skill,subclassFeature,絕代技能,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Perfected Armor,subclassFeature,完美裝甲,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Perfected Bond,subclassFeature,完美聯結,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Performance of Creation,subclassFeature,造物表演,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Phantasmal Creatures,subclassFeature,魅影生物,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Phantom,subclassFeature,鬼魅,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Phantom Knife,subclassFeature,幻影之刃,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Physician's Touch,subclassFeature,生死之觸,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Planar Warrior,subclassFeature,位面戰士,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Portent,subclassFeature,預兆,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Potent Cantrip,subclassFeature,強力戲法,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Potent Spellcasting,subclassFeature,強力施法,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Power of Shadow,subclassFeature,幽影之威,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Power of the Wilds,subclassFeature,獸力威能,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Power Surge,subclassFeature,力量涌動,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Powered Steps,subclassFeature,動力步伐,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Preserve Life,subclassFeature,維持生命,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Priest of Zeal,subclassFeature,狂信侍僧,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Primal Companion,subclassFeature,原初動物夥伴,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Primal Lore,subclassFeature,原初學識,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Primal Strike,subclassFeature,原初打擊,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Projected Ward,subclassFeature,投射防護,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Protective Bond,subclassFeature,保護聯結,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Protective Field,subclassFeature,庇護力場,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Protective Spirit,subclassFeature,守護之魂,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Psi Warrior,subclassFeature,靈能武士,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Psi-Bolstered Knack,subclassFeature,靈能訣竅,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Psi-Powered Leap,subclassFeature,靈力躍動,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Psionic Investigation,subclassFeature,靈能偵察,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Psionic Power,subclassFeature,靈能力量,靈能天賦,5eclone.pingstudio.tw (preferred candidate); project glossary alternatives,approved,true,User approved the first listed candidate; may revise later.
Psionic Resilience,subclassFeature,靈能再生,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Psionic Sorcery,subclassFeature,靈能術法,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Psionic Spells,subclassFeature,靈能法術,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Psionic Strike,subclassFeature,靈能打擊,靈能擊打,shuaishuaidnd.cn + OpenCC s2twp,approved,true,
Psionic Surge,subclassFeature,靈能湧動,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Psychic Blades,subclassFeature,念刃,精神之刃,5eclone.pingstudio.tw (preferred candidate); project glossary alternatives,approved,true,User approved the first listed candidate; may revise later.
Psychic Defenses,subclassFeature,心靈防禦,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Psychic Spells,subclassFeature,心靈法術,,shuaishuaidnd.cn + OpenCC s2twp,approved,true,User approved proceeding with the discovered full-Class translation source; may revise later.
Psychic Teleportation,subclassFeature,心靈傳送,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
Psychic Veil,subclassFeature,靈能面紗,,5eclone.pingstudio.tw (legacy exact ENG_name match),approved,true,
